name,z,fgas500,fgas500+-,fgas2500,fgas2500+-
SDSSXCS-1018,0.2144,0.041,0.008,0.075,0.009
SDSSXCS-10223,0.1402,,,,
SDSSXCS-103,0.1839,,,,
SDSSXCS-10401,0.1411,0.123,0.02,0.089,0.014
SDSSXCS-10897,0.185,,,,
SDSSXCS-110,0.1136,0.031,0.005,0.058,0.002
SDSSXCS-11154,0.1601,0.128,0.014,0.107,0.01
SDSSXCS-1131,0.2993,0.134,0.175,0.079,0.027
SDSSXCS-11331,0.2535,0.113,0.009,0.148,0.009
SDSSXCS-1137,0.2472,0.158,0.01,,
SDSSXCS-11394,0.2922,,,,
SDSSXCS-11613,0.3158,,,,
SDSSXCS-1174,0.1974,,,,
SDSSXCS-11881,0.2405,0.113,0.088,0.063,0.015
SDSSXCS-119,0.3042,,,,
SDSSXCS-120,0.1893,0.079,0.007,,
SDSSXCS-123,0.1206,0.102,0.009,0.092,0.005
SDSSXCS-124,0.2475,0.114,0.017,0.123,0.007
SDSSXCS-13,0.2269,0.152,0.058,0.127,0.014
SDSSXCS-134,0.2773,0.113,0.013,0.103,0.005
SDSSXCS-137,0.1022,0.038,0.004,,
SDSSXCS-14,0.2293,0.155,0.013,,
SDSSXCS-147,0.2594,0.065,0.014,0.097,0.007
SDSSXCS-14715,0.181,,,,
SDSSXCS-15,0.104,0.031,0.007,0.094,0.022
SDSSXCS-155,0.2345,0.075,0.011,0.104,0.017
SDSSXCS-15984,0.2052,0.099,0.014,0.106,0.007
SDSSXCS-16227,0.1979,,,,
SDSSXCS-1628,0.1431,0.111,0.017,0.102,0.006
SDSSXCS-16286,0.2374,0.142,0.068,0.061,0.023
SDSSXCS-1645,0.2281,0.042,0.007,0.074,0.006
SDSSXCS-165,0.1374,0.016,0.004,0.03,0.005
SDSSXCS-176,0.1569,0.014,0.002,0.02,0.002
SDSSXCS-17923,0.3149,,,,
SDSSXCS-1884,0.2538,0.078,0.022,0.064,0.023
SDSSXCS-189,0.335,0.081,0.013,0.107,0.017
SDSSXCS-19,0.2338,0.089,0.012,0.094,0.009
SDSSXCS-19467,0.3376,0.049,0.027,,
SDSSXCS-19922,0.3186,,,,
SDSSXCS-2,0.2328,0.162,0.021,0.132,0.009
SDSSXCS-2032,0.2816,0.093,0.01,0.094,0.006
SDSSXCS-209,0.2688,0.083,0.009,0.085,0.005
SDSSXCS-2092,0.3282,,,,
SDSSXCS-21,0.3051,0.117,0.009,,
SDSSXCS-210,0.2869,0.085,0.025,0.052,0.015
SDSSXCS-212,0.1564,0.039,0.006,0.061,0.012
SDSSXCS-21847,0.2382,,,,
SDSSXCS-22,0.1805,0.596,0.056,0.1,0.005
SDSSXCS-225,0.2296,,,,
SDSSXCS-226,0.235,0.064,0.01,0.092,0.007
SDSSXCS-22748,0.3123,,,,
SDSSXCS-2282,0.1862,0.237,0.043,0.075,0.023
SDSSXCS-2288,0.2698,0.097,0.008,0.137,0.007
SDSSXCS-23,0.2942,0.154,0.025,0.116,0.016
SDSSXCS-2346,0.3008,,,,
SDSSXCS-2347,0.2282,0.044,0.01,0.038,0.006
SDSSXCS-236,0.1755,0.099,0.012,0.078,0.008
SDSSXCS-239,0.2276,0.076,0.022,0.096,0.009
SDSSXCS-241,0.2212,,,,
SDSSXCS-2588,0.2307,,,,
SDSSXCS-26424,0.201,,,,
SDSSXCS-2789,0.1053,0.028,0.005,0.061,0.004
SDSSXCS-28269,0.244,,,,
SDSSXCS-2836,0.1051,0.021,0.006,0.041,0.003
SDSSXCS-286,0.3121,0.066,0.014,0.087,0.01
SDSSXCS-28849,0.2743,,,,
SDSSXCS-29,0.2506,0.142,0.014,0.128,0.011
SDSSXCS-290,0.3485,0.144,0.021,0.091,0.015
SDSSXCS-29799,0.3211,,,,
SDSSXCS-298,0.1742,0.126,0.013,0.1,0.005
SDSSXCS-2984,0.1426,0.067,0.018,,
SDSSXCS-3,0.1824,0.131,0.01,,
SDSSXCS-309,0.206,0.179,0.031,0.112,0.009
SDSSXCS-30950,0.2499,,,,
SDSSXCS-31,0.2965,0.15,0.017,0.133,0.009
SDSSXCS-31144,0.3494,,,,
SDSSXCS-314,0.265,0.099,0.01,0.109,0.03
SDSSXCS-32,0.1379,0.021,0.007,0.043,0.015
SDSSXCS-325,0.1983,0.094,0.012,0.078,0.009
SDSSXCS-3312,0.1871,0.038,0.029,0.044,0.011
SDSSXCS-34,0.3007,0.126,0.021,0.109,0.015
SDSSXCS-35,0.2909,,,,
SDSSXCS-35404,0.3418,,,,
SDSSXCS-3672,0.3359,0.079,0.015,0.069,0.013
SDSSXCS-3746,0.1156,,,,
SDSSXCS-382,0.1108,0.012,0.001,0.029,0.003
SDSSXCS-395,0.2391,0.119,0.009,0.08,0.009
SDSSXCS-4003,0.1631,0.036,0.006,0.039,0.003
SDSSXCS-408,0.1361,0.146,0.019,,
SDSSXCS-41,0.3047,0.138,0.016,0.106,0.005
SDSSXCS-4245,0.1674,,,,
SDSSXCS-43,0.2571,0.15,0.006,,
SDSSXCS-4313,0.3122,,,,
SDSSXCS-455,0.3039,0.055,0.009,0.102,0.015
SDSSXCS-457,0.2753,0.181,0.031,0.235,0.03
SDSSXCS-47,0.2086,,,,
SDSSXCS-474,0.2415,,,,
SDSSXCS-480,0.1654,0.133,0.011,,
SDSSXCS-487,0.3339,0.044,0.01,0.081,0.01
SDSSXCS-5,0.1705,0.135,0.013,0.081,0.006
SDSSXCS-5020,0.1658,0.016,0.009,0.025,0.004
SDSSXCS-51,0.3081,0.113,0.02,0.089,0.008
SDSSXCS-5159,0.1004,0.002,0.001,0.009,0.002
SDSSXCS-5225,0.2356,0.101,0.03,0.151,0.017
SDSSXCS-55,0.1192,0.121,0.014,0.081,0.005
SDSSXCS-5527,0.1382,0.054,0.016,0.057,0.005
SDSSXCS-5624,0.3053,,,,
SDSSXCS-572,0.1883,0.074,0.007,0.096,0.005
SDSSXCS-574,0.1385,0.053,0.009,0.063,0.004
SDSSXCS-5743,0.2942,,,,
SDSSXCS-575,0.2264,0.045,0.007,0.067,0.01
SDSSXCS-5830,0.1525,0.086,0.024,0.041,0.014
SDSSXCS-586,0.2624,0.143,0.047,0.153,0.096
SDSSXCS-58896,0.3359,,,,
SDSSXCS-593,0.1564,0.069,0.006,0.081,0.008
SDSSXCS-5939,0.1704,,,,
SDSSXCS-5977,0.168,,,,
SDSSXCS-6,0.2317,0.182,0.037,0.123,0.011
SDSSXCS-608,0.1841,,,,
SDSSXCS-617,0.2999,,,,
SDSSXCS-62,0.3235,,,,
SDSSXCS-6245,0.185,,,,
SDSSXCS-6307,0.1063,,,,
SDSSXCS-64824,0.3426,0.064,0.017,0.062,0.034
SDSSXCS-65,0.1705,0.066,0.01,0.131,0.006
SDSSXCS-667,0.2917,0.111,0.006,,
SDSSXCS-68,0.3006,0.116,0.013,0.106,0.009
SDSSXCS-6955,0.2228,0.197,0.059,0.082,0.024
SDSSXCS-71,0.1961,0.154,0.015,0.238,0.068
SDSSXCS-7190,0.3446,,,,
SDSSXCS-7247,0.1897,,,,
SDSSXCS-7405,0.1505,,,,
SDSSXCS-7416,0.3231,0.087,0.022,0.074,0.027
SDSSXCS-7432,0.2615,0.136,0.019,0.087,0.012
SDSSXCS-75,0.2891,0.048,0.028,0.074,0.017
SDSSXCS-765,0.3127,0.152,0.043,0.115,0.026
SDSSXCS-7783,0.1942,0.095,0.008,0.088,0.007
SDSSXCS-78,0.1598,0.096,0.009,0.094,0.004
SDSSXCS-8060,0.105,0.005,0.001,0.016,0.002
SDSSXCS-8366,0.3053,,,,
SDSSXCS-852,0.1467,0.062,0.012,,
SDSSXCS-890,0.2349,0.066,0.009,0.134,0.011
SDSSXCS-893,0.3163,0.037,0.009,0.065,0.011
SDSSXCS-9,0.3237,0.108,0.027,0.069,0.016
SDSSXCS-907,0.3259,0.084,0.013,0.121,0.012
SDSSXCS-913,0.2586,,,,
SDSSXCS-9258,0.1331,0.019,0.005,0.02,0.004
SDSSXCS-9313,0.2215,0.034,0.005,0.047,0.006
SDSSXCS-944,0.131,0.033,0.005,0.074,0.015
SDSSXCS-9803,0.2529,0.129,0.02,0.122,0.008
